Year,June,July,August,September,October,Total,,,,,,,,,
1977,3,77,184,382,98,744,,,,,,,,,
1978,11,116,170,292,183,772,,,,,,,,,
1979,1,120,150,641,239,"1,142",,,,,,,,,
1980,3,92,105,586,316,"1,102",,,,,,,,,
1981,7,54,118,442,166,778,,,,,,,,,
1982,2,11,60,159,88,320,,,,,,,,,
1983,-,0,95,523,316,934,,,,,,,,,
1984,-,1,103,207,38,422,,,,,,,,,
1985,-,10,91,411,255,767,,,,,,,,,
1986,-,42,106,744,532,"1,424",,,,,,,,,
1987,-,0,61,418,306,785,,,,,,,,,
1988,6,31,55,665,233,992,,,,,,,,,
1989,2,17,27,516,725,"1,287",,,,,,,,,
1990,0,35,34,290,442,801,,,,,,,,,
1991,1,24,84,743,426,"1,278",,,,,,,,,
1992,6,44,86,559,425,"1,120",,,,,,,,,
1993,0,13,34,496,448,991,,,,,,,,,
1994,-,6,14,159,219,398,,,,,,,,,
1995,2,9,58,710,987,"1,766",,,,,,,,,
1996,-,14,61,1048,1188,"2,311",,,,,,,,,
1997,-,13,53,965,187,"1,218",,,,,,,,,
1998,-,6,33,1234,372,"1,645",,,,,,,,,
1999,-,0,78,1247,614,"1,939",,,,,,,,,
2000,0,13,70,1080,472,"1,635",,,,,,,,,
2001,2,32,137,2470,1263,"3,904",,,,,,,,,
2002,0,36,142,1953,1205,"3,336",,,,,,,,,
2003,1,28,68,1000,658,"1,755",,,,,,,,,
2004,3,10,35,559,309,916,,,,,,,,,
2005,-,16,83,816,647,"1,562",,,,,,,,,
2006,-,22,70,1684,829,"2,605",,,,,,,,,
2007,1,14,25,1256,830,"1,612",,,,,,,,,
2008,-,5,68,936,552,"1,561",,,,,,,,,
2009,-,12,181,1628,927,"2,748",,,,,,,,,
2010,-,18,60,899,424,"1,401",,,,,,,,,
2011,-,5,44,647,559,"1,255",,,,,,,,,
2012,-,4,37,417,289,747,,,,,,,,,
2013,-,9,34,495,243,781,,,,,,,,,
2014,-,17,49,439,487,992,,,,,,,,,
2015,6,21,131,738,474,"1,370",,,,,,,,,
2016,0,5,37,385,113,540,,,,,,,,,
2017,-,0,0,0,0,352,,,,,,,,,
2018,-,9,21,215,192,437,,,,,,,,,
2019,-,10,12,111,163,296,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,