Stream Name,Site ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Black Canyon Creek ,140,1,14,2,5,7,13,3,8,13,55,9,2,17,4,24,
Deer Creek ,33,1,3,2,6,0,0,6,10,10,9,11,0,2,8,22,
Deer Creek ,200,5,5,5,15,1,0,7,21,11,6,15,1,1,12,15,
Murderers Creek ,161,2,2,1,0,0,0,13,1,2,0,0,0,0,0,0,
Murderers Creek ,204,2,9,4,11,5,1,12,15,7,1,3,0,1,0,0,
Murderers Creek ,223,4,21,2,4,3,2,8,27,20,8,29,8,27,0,19,
Murderers Creek ,282,,,,2,0,0,0,0,0,0,0,0,0,0,0,
NF Wind Creek ,97,0,0,8,2,7,0,1,13,5,0,6,0,7,2,24,
SF Deer Creek ,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SF John Day River ,175,0,3,2,0,2,,1,0,4,12,5,0,7,1,5,
SF John Day River,345,,,,1,2,,2,9,5,13,4,1,0,0,13,
Tex Creek ,66,3,1,3,4,0,1,11,0,0,0,0,0,0,0,0,
Wind Creek ,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Redds,,18,58,29,50,27,17,64,104,77,104,82,12,62,27,122,
Km surveyed,,25.9,24.2,24.2,25.9,24.8,22.8,24.8,24.8,24.8,24.8,24.8,24.8,30.1,24.8,24.8,
Redds/Km,,0.69,2.40,1.20,1.93,1.09,0.75,2.58,4.19,3.10,4.19,3.31,0.48,2.06,1.09,4.92,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,