Location,Date_time,pH,Dissolved Oxygen % Saturation,Temperature,Dissolved Oxygen mg/l,Biochemical Oxygen Demand,Total Coliform,Total Solids,Ammonia,Nitrate + Nitrite,Escherichiac in cfu/100ml,Escherichia in MPN/100ml,Year,Season,Julian
John Day River at Hwy 206,1987-05-28,8.5,108,17.5,10.2,1.3,NA,142,0.001,0.02,NA,NA,1987,Spring,148
John Day River at Hwy 206,1987-06-29,8.7,120,26.5,9,1.4,NA,132,0.006,0.02,NA,NA,1987,Summer,180
Deschutes River at Deschutes River Park,1987-07-01,8.8,120,22.5,10.5,2,NA,90,0.006,0.02,NA,NA,1987,Summer,182
Deschutes River at Deschutes River Park,1987-08-04,8.5,108,20,9.9,1.2,NA,98,0.003,0.02,NA,NA,1987,Summer,216
John Day River at Hwy 206,1987-08-06,8.6,111,22.5,9.3,1.3,NA,197,0.006,0.03,NA,NA,1987,Summer,218
Deschutes River at Deschutes River Park,1987-10-19,8.4,112,12,12.1,2.1,NA,118,0.001,0.09,NA,NA,1987,Fall,292
John Day River at Hwy 206,1987-10-21,8.5,114,11,12,1.3,NA,223,0.002,0.02,NA,NA,1987,Fall,294
Deschutes River at Deschutes River Park,1987-11-23,7.7,113,9.5,12.9,2.4,NA,124,2e-4,0.08,NA,NA,1987,Fall,327
John Day River at Hwy 206,1987-11-24,8,92,11,10.2,0.6,NA,115,0.001,0.24,NA,NA,1987,Fall,328
Deschutes River at Deschutes River Park,1987-12-21,8.1,102,7,12.4,1.5,NA,104,4e-4,0.19,NA,NA,1987,Winter,355
John Day River at Hwy 206,1987-12-21,8.3,108,3,14,2.6,NA,NA,8e-4,0.02,NA,NA,1987,Winter,355
Deschutes River at Deschutes River Park,1988-01-20,7.9,106,6,13.3,2.1,NA,103,3e-4,0.29,NA,NA,1988,Winter,20
John Day River at Hwy 206,1988-01-20,8.2,112,4.3,14,2.7,NA,190,4e-4,0.3,NA,NA,1988,Winter,20
Deschutes River at Deschutes River Park,1988-02-18,7.9,111,7.5,13.4,2,NA,119,6e-4,0.19,NA,NA,1988,Winter,49
John Day River at Hwy 206,1988-02-18,8.2,112,7,13.3,2.1,NA,171,6e-4,0.02,NA,NA,1988,Winter,49
Deschutes River at Deschutes River Park,1988-04-12,8.3,108,12.5,11.6,2.4,NA,80,0.004,0.03,NA,NA,1988,Spring,103
John Day River at Hwy 206,1988-04-12,8,102,16,10.2,1.2,NA,129,0.002,0.02,NA,NA,1988,Spring,103
Deschutes River at Deschutes River Park,1988-05-04,8.1,106,10.5,11.9,1.8,NA,89,0.001,0.02,NA,NA,1988,Spring,125
John Day River at Hwy 206,1988-05-06,8.3,105,13,10.9,1.3,NA,120,0.002,0.02,NA,NA,1988,Spring,127
John Day River at Hwy 206,1988-06-14,8.7,110,21,9.7,0.8,NA,114,0.004,0.02,NA,NA,1988,Spring,166
Deschutes River at Deschutes River Park,1988-06-14,8.6,116,17,11.3,1.4,NA,98,0.003,0.02,NA,NA,1988,Spring,166
Deschutes River at Deschutes River Park,1988-06-17,8.3,108,12.5,11.6,2.4,NA,79,0.003,0.02,NA,NA,1988,Spring,169
John Day River at Hwy 206,1988-06-17,8.2,102,16,10.2,1.2,NA,129,0.002,0.02,NA,NA,1988,Spring,169
Deschutes River at Deschutes River Park,1988-07-18,8.2,106,10.5,11.9,1.8,NA,92,0.002,0.02,NA,NA,1988,Summer,200
John Day River at Hwy 206,1988-07-19,8.7,123,25,10.1,1.2,NA,150,0.005,0.02,NA,NA,1988,Summer,201
Deschutes River at Deschutes River Park,1988-07-19,8.6,123,21,11.1,1.7,NA,89,0.004,0.02,NA,NA,1988,Summer,201
Deschutes River at Deschutes River Park,1988-08-15,8.4,118,18,11.2,1.9,NA,96,0.002,0.05,NA,NA,1988,Summer,228
John Day River at Hwy 206,1988-08-16,8.9,112,23,9.5,2,NA,190,0.01,0.02,NA,NA,1988,Summer,229
Deschutes River at Deschutes River Park,1988-09-26,8.6,121,16,11.5,2.5,NA,98,0.003,0.04,NA,NA,1988,Fall,270
John Day River at Hwy 206,1988-09-28,8.9,118,17,11.2,1.8,NA,220,0.005,0.02,NA,NA,1988,Fall,272
Deschutes River at Deschutes River Park,1988-10-24,8.2,108,13,11.5,1.4,NA,100,7e-4,0.09,NA,NA,1988,Fall,298
John Day River at Hwy 206,1988-10-26,8.6,104,14,10.6,0.6,NA,190,0.002,0.02,NA,NA,1988,Fall,300
Deschutes River at Deschutes River Park,1988-11-22,8.3,106,10.5,11.9,1.9,NA,100,7e-4,0.1,NA,NA,1988,Fall,327
John Day River at Hwy 206,1988-11-22,8.5,106,9.5,12.1,2,NA,171,0.003,0.02,NA,NA,1988,Fall,327
Deschutes River at Deschutes River Park,1989-02-13,8.2,111,6.5,13.4,NA,NA,110,0.02,0.16,NA,NA,1989,Winter,44
John Day River at Hwy 206,1989-03-30,7.8,90,4.5,11.6,NA,NA,170,0.03,0.09,NA,NA,1989,Spring,89
Deschutes River at Deschutes River Park,1989-03-30,8.4,111,8.5,13,NA,NA,130,0.03,0.16,NA,NA,1989,Spring,89
Deschutes River at Deschutes River Park,1989-05-09,8.1,NA,14,10.5,NA,NA,100,0.02,0.02,NA,NA,1989,Spring,129
John Day River at Hwy 206,1989-05-17,8.3,100,15,10.2,NA,NA,160,0.04,0.08,NA,NA,1989,Spring,137
Deschutes River at Deschutes River Park,1989-07-10,8.6,109,17,10.6,2.2,NA,100,0.02,0.02,NA,NA,1989,Summer,191
John Day River at Hwy 206,1989-07-10,8.9,122,22,10.6,0.9,NA,160,0.02,0.02,NA,NA,1989,Summer,191
Deschutes River at Deschutes River Park,1989-08-21,8.5,108,18,10.3,1.9,NA,110,0.03,0.02,NA,NA,1989,Summer,233
John Day River at Hwy 206,1989-08-22,9.1,115,22,10,1.8,NA,210,0.02,0.02,NA,NA,1989,Summer,234
Deschutes River at Deschutes River Park,1990-06-05,8.2,109,13.9,11.5,2.1,NA,100,9e-4,0.03,NA,NA,1990,Spring,156
John Day River at Hwy 206,1990-06-06,8.4,108,17.8,9.9,1.2,NA,110,0.004,0.02,NA,NA,1990,Spring,157
John Day River at Hwy 206,1990-06-25,8.3,111,17,9.7,1.5,NA,120,0.001,0.02,NA,NA,1990,Summer,176
Deschutes River at Deschutes River Park,1990-07-09,7.9,113,21,10.2,1.9,NA,88,8e-4,0.02,NA,NA,1990,Summer,190
Deschutes River at Deschutes River Park,1990-08-13,7.7,98,20,9,1,NA,110,0.001,0.03,NA,NA,1990,Summer,225
John Day River at Hwy 206,1990-08-13,8.8,110,25,9,1.2,NA,170,0.006,0.02,NA,NA,1990,Summer,225
Deschutes River at Deschutes River Park,1990-09-18,8.1,112,18,10.6,1.6,NA,110,0.001,0.05,NA,NA,1990,Summer,261
Deschutes River at Deschutes River Park,1990-10-08,7.3,102,12,11,1.4,NA,100,1e-4,0.12,NA,NA,1990,Fall,281
John Day River at Hwy 206,1990-10-08,8.3,102,12,10.8,1,NA,180,0.001,0.02,NA,NA,1990,Fall,281
Deschutes River at Deschutes River Park,1990-12-05,7.8,112,9,13,2,NA,100,3e-4,0.08,NA,NA,1990,Fall,339
John Day River at Hwy 206,1990-12-05,8,110,7,13.4,1.6,NA,150,4e-4,0.02,NA,NA,1990,Fall,339
Deschutes River at Deschutes River Park,1991-01-09,8.1,106,2.5,14.5,2.4,NA,96,3e-4,0.17,NA,NA,1991,Winter,9
John Day River at Hwy 206,1991-01-09,8.2,102,0,14.9,2.8,NA,170,3e-4,0.02,NA,NA,1991,Winter,9
Deschutes River at Deschutes River Park,1991-02-20,8.2,103,8,12.2,1.4,NA,100,6e-4,0.14,NA,NA,1991,Winter,51
John Day River at Hwy 206,1991-02-20,8.2,99,7.5,11.9,1.6,NA,150,6e-4,0.08,NA,NA,1991,Winter,51
Deschutes River at Deschutes River Park,1991-03-27,8.4,124,11,13.8,2.9,NA,72,0.001,0.02,NA,NA,1991,Spring,86
John Day River at Hwy 206,1991-03-27,8.2,113,14,11.7,1.3,NA,120,9e-4,0.02,NA,NA,1991,Spring,86
Deschutes River at Deschutes River Park,1991-07-15,8.5,120,20,11,2,NA,96,0.003,0.02,NA,NA,1991,Summer,196
John Day River at Hwy 206,1991-07-17,8.8,124,23,10.5,2.4,NA,130,0.009,0.02,NA,NA,1991,Summer,198
John Day River at Hwy 206,1991-08-20,9.1,123,28.5,9.5,0.9,NA,190,0.017,0.02,NA,NA,1991,Summer,232
Deschutes River at Deschutes River Park,1991-08-20,9.1,127,24.5,10.6,1.5,NA,120,0.015,0.04,NA,NA,1991,Summer,232
John Day River at Hwy 206,1991-09-11,8.9,118,23,10.4,1.9,NA,190,0.007,0.02,NA,NA,1991,Summer,254
Deschutes River at Deschutes River Park,1991-09-30,7.4,114,17,11.1,1.6,NA,93,2e-4,0.03,NA,NA,1991,Fall,273
John Day River at Hwy 206,1991-10-25,8.4,96.6,9,11,NA,NA,220,0.002,0.02,NA,NA,1991,Fall,298
John Day River at Hwy 206,1991-11-20,8.3,108,9,12.2,1.6,NA,170,0.001,0.02,NA,NA,1991,Fall,324
John Day River at Hwy 206,1991-12-11,8,107,6.5,12.9,2.3,NA,150,7e-4,0.13,NA,NA,1991,Fall,345
John Day River at Hwy 206,1992-01-15,8.3,111,6,13.9,2.9,NA,150,5e-4,0.02,NA,NA,1992,Winter,15
Deschutes River at Deschutes River Park,1992-01-21,8.3,96,7.5,11.6,1.9,NA,99,7e-4,0.2,NA,NA,1992,Winter,21
John Day River at Hwy 206,1992-02-12,8.3,101,6.5,12.2,1.6,NA,140,7e-4,0.02,NA,NA,1992,Winter,43
John Day River at Hwy 206,1992-03-25,8.4,113,14,11.5,1.3,NA,120,0.001,0.02,NA,NA,1992,Spring,85
Deschutes River at Deschutes River Park,1992-04-24,8.2,106,14,11,1.1,NA,94,0.001,0.02,NA,NA,1992,Spring,115
John Day River at Hwy 206,1992-04-29,8.3,102,19,9.3,1.2,NA,110,0.002,0.02,NA,NA,1992,Spring,120
John Day River at Hwy 206,1992-05-13,8.6,113,19,10.6,1.4,NA,100,0.003,0.02,NA,NA,1992,Spring,134
John Day River at Hwy 206,1992-06-09,8.3,119,24,10,1.7,NA,130,0.002,0.02,NA,NA,1992,Spring,161
Deschutes River at Deschutes River Park,1992-06-29,8.5,106,19,10,NA,NA,89,0.004,0.02,NA,NA,1992,Summer,181
John Day River at Hwy 206,1992-07-29,8.7,127,26.5,10.2,0.5,NA,160,0.006,0.02,NA,NA,1992,Summer,211
Deschutes River at Deschutes River Park,1992-08-03,8,109,19,10.3,1.7,NA,110,0.001,0.02,NA,NA,1992,Summer,216
John Day River at Hwy 206,1992-08-18,9.1,123,28,9.2,0.6,NA,150,0.011,0.02,NA,NA,1992,Summer,231
John Day River at Hwy 206,1992-10-14,8.6,117,13.5,11.5,1.1,NA,190,0.003,0.02,NA,NA,1992,Fall,288
Deschutes River at Deschutes River Park,1992-10-26,8,107,13.5,11.2,1.5,NA,110,6e-4,0.07,NA,NA,1992,Fall,300
Deschutes River at Deschutes River Park,1992-12-14,8,103,8,12.2,1.8,NA,95,0.02,0.11,NA,NA,1992,Fall,349
John Day River at Hwy 206,1992-12-16,8,104,1.7,14.1,2.2,NA,170,2e-4,0.03,NA,NA,1992,Fall,351
Deschutes River at Deschutes River Park,1993-02-22,7.4,105,4.5,13.6,2.8,NA,100,6e-5,0.13,NA,NA,1993,Winter,53
John Day River at Hwy 206,1993-02-24,8.4,108,3.5,14.4,2.8,NA,140,0.02,0.04,NA,NA,1993,Winter,55
John Day River at Hwy 206,1993-04-26,8.2,101,12,10.7,0.3,NA,150,8e-4,0.02,NA,NA,1993,Spring,116
Deschutes River at Deschutes River Park,1993-04-27,7.6,102,10,11.5,0.8,NA,130,2e-4,0.19,NA,NA,1993,Spring,117
Deschutes River at Deschutes River Park,1993-08-16,8.4,118,18,11.2,1.3,NA,100,0.002,0.08,NA,NA,1993,Summer,228
John Day River at Hwy 206,1993-08-17,8.6,109,21,9.6,1.3,NA,170,0.004,0.02,NA,NA,1993,Summer,229
Deschutes River at Deschutes River Park,1994-02-07,8.3,103,5,13.2,1.8,NA,93,6e-4,0.26,NA,NA,1994,Winter,38
John Day River at Hwy 206,1994-02-09,8.5,110,2,14.8,3.4,NA,180,6e-4,0.02,NA,NA,1994,Winter,40
Deschutes River at Deschutes River Park,1994-04-04,8.5,111,10,12.5,2.3,NA,110,0.001,0.03,NA,NA,1994,Spring,94
Bakeoven Creek at mouth,1994-04-04,8.1,125,9.5,13.9,NA,NA,91,8e-4,0.07,NA,NA,1994,Spring,94
John Day River at Hwy 206,1994-04-06,8.2,101,11,11.1,1.4,NA,150,7e-4,0.02,NA,NA,1994,Spring,96
Deschutes River at Deschutes River Park,1994-06-13,8.6,110,17,10.7,2,NA,100,0.003,0.02,NA,NA,1994,Spring,164
John Day River at Hwy 206,1994-06-15,8.7,107,18,10,0.9,NA,130,0.004,0.02,NA,NA,1994,Spring,166
Deschutes River at Deschutes River Park,1994-08-01,8.4,105,19.5,9.8,1.1,NA,99,0.002,0.07,NA,NA,1994,Summer,213
Deschutes River at Deschutes River Park,1994-10-10,8.3,108,14.5,10.9,0.9,NA,93,0.001,0.12,NA,NA,1994,Fall,283
John Day River at Hwy 206,1994-10-12,8.4,106,13,11,0.6,NA,200,0.003,0.02,NA,NA,1994,Fall,285
Deschutes River at Deschutes River Park,1994-12-19,8.1,96,7.5,11.6,0.6,NA,110,5e-4,0.2,NA,NA,1994,Fall,353
Deschutes River at Deschutes River Park,1995-02-06,7.8,106,8,12.4,1.5,NA,110,0.04,0.27,NA,NA,1995,Winter,37
John Day River at Hwy 206,1995-02-08,8,107,8,12.5,1.8,NA,150,0.02,0.14,NA,NA,1995,Winter,39
Deschutes River at Deschutes River Park,1995-04-17,8.5,103,9.5,11.8,1.4,NA,91,0.02,0.02,NA,NA,1995,Spring,107
John Day River at Hwy 206,1995-04-19,8.2,104,9,11.8,1.1,NA,130,0.02,0.02,NA,NA,1995,Spring,109
Deschutes River at Deschutes River Park,1995-06-12,8.5,115,16.5,11.1,0.3,NA,100,0.03,0.05,NA,NA,1995,Spring,163
John Day River at Hwy 206,1995-06-14,8.4,101,17,9.6,0.3,NA,170,0.03,0.02,NA,NA,1995,Spring,165
Deschutes River at Deschutes River Park,1995-07-03,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,1995,Summer,184
Deschutes River at Deschutes River Park,1995-08-15,NA,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,1995,Summer,227
Deschutes River at Deschutes River Park,1995-08-16,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,1995,Summer,228
Deschutes River at Deschutes River Park,1995-08-17,NA,NA,19.7,NA,NA,NA,NA,NA,NA,NA,NA,1995,Summer,229
Deschutes River at Deschutes River Park,1995-08-18,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,1995,Summer,230
Deschutes River at Deschutes River Park,1995-08-28,8.4,111,18,10.5,1.5,NA,110,0.02,0.03,NA,NA,1995,Summer,240
John Day River at Hwy 206,1995-08-30,8.8,122,23,10.4,0.9,NA,190,0.02,0.02,NA,NA,1995,Summer,242
Deschutes River at Deschutes River Park,1995-10-02,8.3,113,15,11.5,2,NA,110,0.03,0.07,NA,NA,1995,Fall,275
John Day River at Hwy 206,1995-10-04,8.7,109,15,10.9,0.5,NA,200,0.02,0.02,NA,NA,1995,Fall,277
Deschutes River at Deschutes River Park,1995-12-04,8.1,104,8.4,12.4,1.4,NA,110,0.04,0.08,NA,NA,1995,Fall,338
John Day River at Hwy 206,1995-12-06,8.2,104,4.7,13.2,1.5,NA,140,0.03,0.07,NA,NA,1995,Fall,340
Deschutes River at Deschutes River Park,1996-02-26,8.1,101,6,12.4,1.5,NA,120,8e-4,0.28,2,NA,1996,Winter,57
John Day River at Hwy 206,1996-02-28,8.2,98,1.5,13.5,1.9,NA,150,4e-4,0.15,4,NA,1996,Winter,59
Deschutes River at Deschutes River Park,1996-04-15,8.2,107,12,11.6,1,NA,92,0.001,0.05,4,NA,1996,Spring,106
Deschutes River at Deschutes River Park,1996-06-03,8.4,107,16.8,10.6,1.6,NA,98,0.002,0.02,4,NA,1996,Spring,155
Deschutes River at Deschutes River Park,1996-08-19,8.3,102,17,9.9,0.7,NA,97,0.003,0.02,NA,NA,1996,Summer,232
Deschutes River at Deschutes River Park,1996-10-14,8.4,106,13.2,11.2,1.2,NA,110,0.002,0.1,4,NA,1996,Fall,288
John Day River at Hwy 206,1996-10-17,8.7,103,9.5,11.6,0.4,NA,180,0.003,0.02,4,NA,1996,Fall,291
Deschutes River at Deschutes River Park,1996-12-16,8.2,103,7.2,12.6,1.2,NA,110,8e-4,0.24,24,NA,1996,Fall,351
John Day River at Hwy 206,1996-12-19,8.4,100,0.9,13.9,1.1,NA,160,5e-4,0.21,6,NA,1996,Fall,354
Deschutes River at Deschutes River Park,1997-02-24,8,105,6.5,13,2.3,NA,100,3e-4,0.22,4,NA,1997,Winter,55
John Day River at Hwy 206,1997-02-27,8.4,99,5.7,12.3,1.2,NA,150,0.04,0.22,20,NA,1997,Winter,58
Deschutes River at Deschutes River Park,1997-04-07,8.3,107,9.5,12.3,0.8,NA,92,0.001,0.08,4,NA,1997,Spring,97
John Day River at Hwy 206,1997-04-10,8.4,102,10.2,11.3,0.5,NA,120,0.001,0.03,4,NA,1997,Spring,100
Deschutes River at Deschutes River Park,1997-06-09,8.4,109,15.5,11,1,NA,94,0.02,0.06,72,NA,1997,Spring,160
John Day River at Hwy 206,1997-06-12,8.5,104,20.1,9.4,0.6,NA,130,0.02,0.02,8,NA,1997,Spring,163
Deschutes River at Deschutes River Park,1997-08-25,8.5,109,18,10.4,1.4,NA,90,0.03,0.05,4,NA,1997,Summer,237
John Day River at Hwy 206,1997-08-28,8.9,112,22.2,9.7,1.6,NA,180,0.02,0.02,10,NA,1997,Summer,240
Deschutes River at Deschutes River Park,1997-10-27,8.6,106,10.9,11.6,1,NA,97,0.004,0.12,4,NA,1997,Fall,300
John Day River at Hwy 206,1997-10-30,8.3,95,12.9,10.5,0.6,NA,180,0.03,0.02,20,NA,1997,Fall,303
Deschutes River at Deschutes River Park,1997-12-01,8.2,103,8,12.2,1.7,NA,96,0.02,0.14,4,NA,1997,Fall,335
John Day River at Hwy 206,1997-12-04,8.6,102,4.1,13.1,2,NA,160,0.02,0.02,8,NA,1997,Fall,338
Deschutes River at Deschutes River Park,1998-02-23,8.1,100,6.8,12.3,1.2,NA,110,0.02,0.22,4,NA,1998,Winter,54
John Day River at Hwy 206,1998-02-25,8.7,111,7.6,13.1,1.9,NA,160,0.03,0.04,2,NA,1998,Winter,56
Deschutes River at Deschutes River Park,1998-04-19,8.4,107,11.2,11.9,1.5,NA,100,0.02,0.02,2,NA,1998,Spring,109
John Day River at Hwy 206,1998-04-22,8.3,100,16.9,9.7,1,NA,140,0.03,0.02,72,NA,1998,Spring,112
Deschutes River at Deschutes River Park,1998-06-01,7.9,98,15,10,1.3,NA,210,0.26,0.14,240,NA,1998,Spring,152
John Day River at Hwy 206,1998-06-04,8.2,95,18.2,9,0.5,NA,210,0.03,0.07,76,NA,1998,Spring,155
Deschutes River at Deschutes River Park,1998-08-17,8.7,115,17.7,11,1.8,NA,91,0.03,0.05,6,NA,1998,Summer,229
John Day River at Hwy 206,1998-08-20,8.8,107,22.1,9.2,0.6,NA,180,0.02,0.02,6,NA,1998,Summer,232
Deschutes River at Deschutes River Park,1998-10-19,8.3,110,11.5,12,1.5,NA,99,0.02,0.13,16,NA,1998,Fall,292
John Day River at Hwy 206,1998-10-22,8.6,107,10.6,11.7,1.3,NA,170,0.02,0.02,2,NA,1998,Fall,295
Deschutes River at Deschutes River Park,1998-12-14,8,102,8,12.1,1.2,NA,110,0.02,0.2,4,NA,1998,Fall,348
John Day River at Hwy 206,1998-12-17,8.3,105,5.5,13,2.6,NA,160,0.02,0.06,14,NA,1998,Fall,351
Deschutes River at Deschutes River Park,1999-02-22,8,101,7.2,12.3,1.3,NA,120,0.03,0.219,4,NA,1999,Winter,53
John Day River at Hwy 206,1999-02-24,8.6,106,8.6,12.3,1.4,NA,170,0.02,0.0193,4,NA,1999,Winter,55
Deschutes River at Deschutes River Park,1999-04-26,8.5,108,11.2,12,0.7,NA,96,0.02,0.0069,2,NA,1999,Spring,116
John Day River at Hwy 206,1999-04-28,8,101,10.9,11,1.3,NA,160,0.02,0.0538,22,NA,1999,Spring,118
Deschutes River at Deschutes River Park,1999-06-14,8.4,107,17.4,10.3,1.3,NA,87,0.02,0.0062,10,NA,1999,Spring,165
John Day River at Hwy 206,1999-06-17,8.3,100,23.5,8.4,0.4,NA,97,0.02,0.005,10,NA,1999,Spring,168
Deschutes River at Deschutes River Park,1999-08-23,8.2,109,18,10.2,1.2,NA,99,0.03,0.0373,26,NA,1999,Summer,235
John Day River at Hwy 206,1999-08-26,8.7,110,24.7,9.1,0.6,NA,170,0.03,0.005,6,NA,1999,Summer,238
Deschutes River at Deschutes River Park,1999-10-18,8.4,108,11.2,11.8,1.8,NA,86,0.02,0.0822,2,NA,1999,Fall,291
John Day River at Hwy 206,1999-10-20,8.6,104,12.2,11,0.9,NA,190,0.03,0.0059,2,NA,1999,Fall,293
Deschutes River at Deschutes River Park,1999-12-13,8.1,102,8,12.1,1.1,NA,100,0.05,0.126,2,NA,1999,Fall,347
John Day River at Hwy 206,1999-12-16,8.5,101,8.2,12,0.7,NA,140,0.04,0.005,2,NA,1999,Fall,350
Deschutes River at Deschutes River Park,2000-02-07,7.7,102,7.2,12.4,1.3,NA,100,0.02,0.256,4,NA,2000,Winter,38
John Day River at Hwy 206,2000-02-10,8.5,105,6.4,12.7,1.7,NA,140,0.02,0.005,2,NA,2000,Winter,41
Deschutes River at Deschutes River Park,2000-04-24,8.4,106,10,12,1.5,NA,96,0.02,0.0081,2,NA,2000,Spring,115
John Day River at Hwy 206,2000-04-27,8.1,99,12.8,10.4,0.1,NA,100,0.02,0.0213,2,NA,2000,Spring,118
Deschutes River at Deschutes River Park,2000-06-19,8.4,107,15,10.9,2.1,NA,92,0.02,0.0121,6,NA,2000,Spring,171
John Day River at Hwy 206,2000-06-22,8.9,122,23.9,10.2,1.3,NA,120,NA,NA,26,NA,2000,Summer,174
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-07-07,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,189
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-07-08,NA,NA,21.4,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,190
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-07-09,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,191
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-07-10,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,192
"Bakeoven Creek, 1 mile downstream of Lindley corral (Deschutes)",2000-07-11,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,2000,Summer,193
