Date_time,Year,Month,Season,Fall Chinook,Hatchery Summer Steelhead,Wild Summer Steelhead
1977-06-01,1977,June,Spring,14,3,4
1977-07-01,1977,July,Summer,142,77,155
1977-08-01,1977,August,Summer,237,184,187
1977-09-01,1977,September,Summer,352,382,229
1977-10-01,1977,October,Fall,111,98,98
1978-06-01,1978,June,Spring,17,11,12
1978-07-01,1978,July,Summer,86,116,106
1978-08-01,1978,August,Summer,181,170,91
1978-09-01,1978,September,Summer,451,292,118
1978-10-01,1978,October,Fall,306,183,110
1979-06-01,1979,June,Spring,7,1,14
1979-07-01,1979,July,Summer,44,120,42
1979-08-01,1979,August,Summer,56,150,48
1979-09-01,1979,September,Summer,357,641,178
1979-10-01,1979,October,Fall,121,239,104
1980-06-01,1980,June,Spring,10,3,0
1980-07-01,1980,July,Summer,21,92,45
1980-08-01,1980,August,Summer,33,105,37
1980-09-01,1980,September,Summer,170,586,212
1980-10-01,1980,October,Fall,186,316,167
1981-06-01,1981,June,Spring,1,7,0
1981-07-01,1981,July,Summer,29,54,51
1981-08-01,1981,August,Summer,76,118,96
1981-09-01,1981,September,Summer,274,442,326
1981-10-01,1981,October,Fall,146,166,213
1982-06-01,1982,June,Spring,NA,2,1
1982-07-01,1982,July,Summer,13,11,10
1982-08-01,1982,August,Summer,80,60,39
1982-09-01,1982,September,Summer,121,159,115
1982-10-01,1982,October,Fall,69,88,87
1983-06-01,1983,June,Spring,NA,NA,NA
1983-07-01,1983,July,Summer,0,0,0
1983-08-01,1983,August,Summer,29,95,39
1983-09-01,1983,September,Summer,80,523,181
1983-10-01,1983,October,Fall,119,316,197
1984-06-01,1984,June,Spring,NA,NA,NA
1984-07-01,1984,July,Summer,1,1,1
1984-08-01,1984,August,Summer,17,103,43
1984-09-01,1984,September,Summer,13,207,123
1984-10-01,1984,October,Fall,9,38,41
1985-06-01,1985,June,Spring,NA,NA,NA
1985-07-01,1985,July,Summer,10,10,10
1985-08-01,1985,August,Summer,36,91,38
1985-09-01,1985,September,Summer,43,411,170
1985-10-01,1985,October,Fall,28,255,146
1986-06-01,1986,June,Spring,NA,NA,NA
1986-07-01,1986,July,Summer,20,42,16
1986-08-01,1986,August,Summer,54,106,26
1986-09-01,1986,September,Summer,58,744,172
1986-10-01,1986,October,Fall,66,532,198
1987-06-01,1987,June,Spring,NA,NA,NA
1987-07-01,1987,July,Summer,0,0,0
1987-08-01,1987,August,Summer,59,61,52
1987-09-01,1987,September,Summer,138,418,134
1987-10-01,1987,October,Fall,105,306,186
1988-06-01,1988,June,Spring,0,6,1
1988-07-01,1988,July,Summer,29,31,12
1988-08-01,1988,August,Summer,36,55,32
1988-09-01,1988,September,Summer,197,665,219
1988-10-01,1988,October,Fall,66,233,110
1989-06-01,1989,June,Spring,9,2,0
1989-07-01,1989,July,Summer,23,17,14
1989-08-01,1989,August,Summer,25,27,18
1989-09-01,1989,September,Summer,47,516,127
1989-10-01,1989,October,Fall,101,725,296
1990-06-01,1990,June,Spring,8,0,1
1990-07-01,1990,July,Summer,16,35,14
1990-08-01,1990,August,Summer,14,34,18
1990-09-01,1990,September,Summer,35,290,96
1990-10-01,1990,October,Fall,47,442,165
1991-06-01,1991,June,Spring,3,1,2
1991-07-01,1991,July,Summer,11,24,13
1991-08-01,1991,August,Summer,19,84,34
1991-09-01,1991,September,Summer,36,743,162
1991-10-01,1991,October,Fall,15,426,82
1992-06-01,1992,June,Spring,8,6,3
1992-07-01,1992,July,Summer,7,44,11
1992-08-01,1992,August,Summer,15,86,21
1992-09-01,1992,September,Summer,76,559,94
1992-10-01,1992,October,Fall,54,425,67
1993-06-01,1993,June,Spring,1,0,1
1993-07-01,1993,July,Summer,16,13,4
1993-08-01,1993,August,Summer,12,34,10
1993-09-01,1993,September,Summer,26,496,91
1993-10-01,1993,October,Fall,68,448,84
1994-06-01,1994,June,Spring,NA,NA,NA
1994-07-01,1994,July,Summer,0,6,3
1994-08-01,1994,August,Summer,9,14,10
1994-09-01,1994,September,Summer,33,159,18
1994-10-01,1994,October,Fall,42,219,24
1995-06-01,1995,June,Spring,1,2,0
1995-07-01,1995,July,Summer,9,9,6
1995-08-01,1995,August,Summer,14,58,17
1995-09-01,1995,September,Summer,77,710,49
1995-10-01,1995,October,Fall,100,987,112
1996-06-01,1996,June,Spring,NA,NA,NA
1996-07-01,1996,July,Summer,14,14,5
1996-08-01,1996,August,Summer,37,61,18
1996-09-01,1996,September,Summer,125,1048,124
1996-10-01,1996,October,Fall,212,1188,152
1997-06-01,1997,June,Spring,NA,NA,NA
1997-07-01,1997,July,Summer,15,13,9
1997-08-01,1997,August,Summer,39,53,9
1997-09-01,1997,September,Summer,196,965,115
1997-10-01,1997,October,Fall,67,187,33
1998-06-01,1998,June,Spring,0,NA,0
1998-07-01,1998,July,Summer,17,6,6
1998-08-01,1998,August,Summer,42,33,11
1998-09-01,1998,September,Summer,167,1234,284
1998-10-01,1998,October,Fall,81,372,90
1999-06-01,1999,June,Spring,NA,NA,NA
1999-07-01,1999,July,Summer,0,0,0
1999-08-01,1999,August,Summer,18,78,46
1999-09-01,1999,September,Summer,121,1247,380
1999-10-01,1999,October,Fall,97,614,269
2000-06-01,2000,June,Spring,0,0,1
2000-07-01,2000,July,Summer,6,13,21
2000-08-01,2000,August,Summer,34,70,62
2000-09-01,2000,September,Summer,158,1080,469
2000-10-01,2000,October,Fall,106,472,378
2001-06-01,2001,June,Spring,3,2,1
2001-07-01,2001,July,Summer,17,32,22
2001-08-01,2001,August,Summer,56,137,62
2001-09-01,2001,September,Summer,234,2470,477
2001-10-01,2001,October,Fall,198,1263,395
2002-06-01,2002,June,Spring,2,0,0
2002-07-01,2002,July,Summer,28,36,29
2002-08-01,2002,August,Summer,38,142,47
2002-09-01,2002,September,Summer,206,1953,367
2002-10-01,2002,October,Fall,192,1205,424
2003-06-01,2003,June,Spring,4,1,1
2003-07-01,2003,July,Summer,12,28,9
2003-08-01,2003,August,Summer,30,68,22
2003-09-01,2003,September,Summer,302,1000,216
2003-10-01,2003,October,Fall,299,658,316
2004-06-01,2004,June,Spring,1,3,0
2004-07-01,2004,July,Summer,19,10,6
2004-08-01,2004,August,Summer,15,35,8
2004-09-01,2004,September,Summer,210,559,160
2004-10-01,2004,October,Fall,319,309,119
2005-06-01,2005,June,Spring,NA,NA,1
2005-07-01,2005,July,Summer,6,16,9
2005-08-01,2005,August,Summer,13,83,28
2005-09-01,2005,September,Summer,159,816,157
2005-10-01,2005,October,Fall,437,647,177
2006-06-01,2006,June,Spring,NA,NA,NA
2006-07-01,2006,July,Summer,4,22,11
2006-08-01,2006,August,Summer,18,70,26
2006-09-01,2006,September,Summer,95,1684,311
2006-10-01,2006,October,Fall,216,829,222
2007-06-01,2007,June,Spring,0,1,0
2007-07-01,2007,July,Summer,4,14,10
2007-08-01,2007,August,Summer,10,25,12
2007-09-01,2007,September,Summer,65,1256,209
2007-10-01,2007,October,Fall,136,830,255
2008-06-01,2008,June,Spring,0,NA,NA
2008-07-01,2008,July,Summer,3,5,7
2008-08-01,2008,August,Summer,15,68,31
2008-09-01,2008,September,Summer,192,936,240
2008-10-01,2008,October,Fall,264,552,226
2009-06-01,2009,June,Spring,NA,NA,NA
2009-07-01,2009,July,Summer,3,12,4
2009-08-01,2009,August,Summer,21,181,75
2009-09-01,2009,September,Summer,152,1628,514
2009-10-01,2009,October,Fall,236,927,371
2010-06-01,2010,June,Spring,NA,NA,NA
2010-07-01,2010,July,Summer,5,18,22
2010-08-01,2010,August,Summer,7,60,59
2010-09-01,2010,September,Summer,126,899,435
2010-10-01,2010,October,Fall,228,424,297
2011-06-01,2011,June,Spring,NA,NA,NA
2011-07-01,2011,July,Summer,4,5,11
2011-08-01,2011,August,Summer,31,44,26
2011-09-01,2011,September,Summer,123,647,222
2011-10-01,2011,October,Fall,259,559,241
2012-06-01,2012,June,Spring,NA,NA,NA
2012-07-01,2012,July,Summer,1,4,6
2012-08-01,2012,August,Summer,19,37,18
2012-09-01,2012,September,Summer,94,417,158
2012-10-01,2012,October,Fall,201,289,113
2013-06-01,2013,June,Spring,0,NA,NA
2013-07-01,2013,July,Summer,4,9,8
2013-08-01,2013,August,Summer,19,34,22
2013-09-01,2013,September,Summer,403,495,183
2013-10-01,2013,October,Fall,606,243,130
2014-06-01,2014,June,Spring,NA,NA,NA
2014-07-01,2014,July,Summer,1,17,9
2014-08-01,2014,August,Summer,22,49,26
2014-09-01,2014,September,Summer,279,439,190
2014-10-01,2014,October,Fall,711,487,305
2015-06-01,2015,June,Spring,0,6,1
2015-07-01,2015,July,Summer,2,21,12
2015-08-01,2015,August,Summer,66,131,41
2015-09-01,2015,September,Summer,328,738,170
2015-10-01,2015,October,Fall,606,474,152
2016-06-01,2016,June,Spring,0,0,0
2016-07-01,2016,July,Summer,0,5,1
2016-08-01,2016,August,Summer,6,37,6
2016-09-01,2016,September,Summer,157,385,59
2016-10-01,2016,October,Fall,203,113,39
2017-06-01,2017,June,Spring,NA,NA,NA
2017-07-01,2017,July,Summer,0,0,0
2017-08-01,2017,August,Summer,0,0,0
2017-09-01,2017,September,Summer,0,0,0
2017-10-01,2017,October,Fall,0,0,0
2018-06-01,2018,June,Spring,NA,NA,NA
2018-07-01,2018,July,Summer,0,9,3
2018-08-01,2018,August,Summer,5,21,6
2018-09-01,2018,September,Summer,74,215,39
2018-10-01,2018,October,Fall,160,192,76
2019-06-01,2019,June,Spring,NA,NA,NA
2019-07-01,2019,July,Summer,0,10,3
2019-08-01,2019,August,Summer,4,12,8
2019-09-01,2019,September,Summer,50,111,53
2019-10-01,2019,October,Fall,216,163,112
