Date,SUMMER.STEELHEAD_Hatchery,SUMMER.STEELHEAD_Wild,SUMMER.STEELHEAD_RM,SUMMER.STEELHEAD_LM,SPRING.CHINOOK_Hachery,SPRING.CHINOOK_Wild,SPRING.CHINOOK_RM,SPRING.CHINOOK_LM,Sockeye_NoMark,Sockeye_RM,Sockeye_LM,Fall.Chinook,Bull.Trout,Rainbow.Trout,Total,Year,Season,Month
2014-01-03,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,42,2014,Winter,January
2014-01-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,25,2014,Winter,January
2014-01-08,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13,40,2014,Winter,January
2014-01-10,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,24,2014,Winter,January
2014-01-13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,19,65,2014,Winter,January
2014-01-15,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,19,2014,Winter,January
2014-01-17,41,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,36,79,2014,Winter,January
2014-01-21,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,16,37,2014,Winter,January
2014-01-22,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,17,2014,Winter,January
2014-01-24,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,21,2014,Winter,January
2014-01-27,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,2014,Winter,January
2014-01-29,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,19,2014,Winter,January
2014-01-31,23,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,26,2014,Winter,January
2014-02-03,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,47,2014,Winter,February
2014-02-05,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14,49,2014,Winter,February
2014-02-07,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,2014,Winter,February
2014-02-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,11,2014,Winter,February
2014-02-14,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,19,2014,Winter,February
2014-02-17,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,49,100,2014,Winter,February
2014-02-19,83,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,150,2014,Winter,February
2014-02-21,17,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,48,2014,Winter,February
2014-02-24,45,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,71,2014,Winter,February
2014-02-26,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,2014,Winter,February
2014-02-28,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,40,2014,Winter,February
2014-03-03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,2014,Winter,March
2014-03-05,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27,2014,Winter,March
2014-03-07,31,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,48,2014,Winter,March
2014-03-10,63,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,110,2014,Winter,March
2014-03-12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,50,2014,Winter,March
2014-03-14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,20,2014,Winter,March
2014-03-17,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,66,2014,Winter,March
2014-03-19,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,32,2014,Winter,March
2014-03-21,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,2014,Spring,March
2014-03-24,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,2014,Spring,March
2014-03-26,18,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,36,2014,Spring,March
2014-03-28,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,2014,Spring,March
2014-03-31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,26,2014,Spring,March
2014-04-02,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,2014,Spring,April
2014-04-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2014,Spring,April
2014-04-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,Spring,April
2014-04-11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2014,Spring,April
2014-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,2014,Spring,April
2014-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2014,Spring,April
2014-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2014,Spring,April
2014-04-23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,Spring,April
2014-04-25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2014,Spring,April
2014-04-28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,2014,Spring,April
2014-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2014,Spring,April
2014-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2014,Spring,May
2014-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,2014,Spring,May
2014-05-07,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,19,22,2014,Spring,May
2014-05-09,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,26,2014,Spring,May
2014-05-12,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,10,21,2014,Spring,May
2014-05-14,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,6,22,2014,Spring,May
2014-05-16,NA,NA,NA,NA,26,2,NA,1,NA,NA,NA,NA,NA,8,37,2014,Spring,May
2014-05-19,NA,NA,NA,NA,15,3,1,NA,NA,NA,NA,NA,NA,3,22,2014,Spring,May
2014-05-21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2014,Spring,May
2014-05-23,NA,NA,NA,NA,27,NA,1,NA,NA,NA,NA,NA,1,29,58,2014,Spring,May
2014-05-26,NA,NA,NA,NA,13,NA,2,2,NA,NA,NA,NA,NA,22,39,2014,Spring,May
2014-05-28,NA,NA,NA,NA,44,2,1,NA,NA,NA,NA,NA,1,27,75,2014,Spring,May
2014-05-30,NA,NA,NA,NA,38,NA,3,NA,NA,NA,NA,NA,NA,14,55,2014,Spring,May
2014-06-02,NA,NA,NA,NA,38,1,1,NA,NA,NA,NA,NA,NA,7,47,2014,Spring,June
2014-06-04,NA,NA,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,5,20,2014,Spring,June
2014-06-06,NA,NA,NA,NA,21,1,NA,NA,NA,NA,NA,NA,1,3,26,2014,Spring,June
2014-06-09,NA,NA,NA,NA,34,NA,1,NA,NA,NA,NA,NA,NA,24,59,2014,Spring,June
2014-06-11,NA,NA,NA,NA,23,NA,1,NA,NA,NA,NA,NA,NA,21,45,2014,Spring,June
2014-06-13,NA,NA,NA,NA,12,NA,1,NA,NA,NA,NA,NA,NA,12,25,2014,Spring,June
2014-06-16,NA,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA,24,40,2014,Spring,June
2014-06-18,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,8,14,2014,Spring,June
2014-06-19,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2014,Spring,June
2014-06-23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,9,2014,Summer,June
2014-06-25,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,NA,1,9,2014,Summer,June
2014-06-27,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2014,Summer,June
2014-06-30,NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,5,22,2014,Summer,June
2014-07-03,NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,7,24,2014,Summer,July
2014-07-07,NA,NA,NA,NA,6,1,1,NA,NA,NA,NA,2,NA,6,16,2014,Summer,July
2014-07-09,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,1,2,12,2014,Summer,July
2014-07-11,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,9,19,2014,Summer,July
2014-07-14,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,5,11,2014,Summer,July
2014-07-16,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,5,14,2014,Summer,July
2014-07-18,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,16,21,2014,Summer,July
2014-07-21,NA,NA,NA,NA,6,1,NA,1,NA,1,NA,1,NA,15,25,2014,Summer,July
2014-07-23,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,2,NA,5,19,2014,Summer,July
2014-07-25,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,1,8,2014,Summer,July
2014-07-28,NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,4,10,2014,Summer,July
2014-07-30,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,5,2014,Summer,July
2014-08-01,NA,NA,NA,NA,4,NA,NA,NA,1,3,NA,NA,NA,1,9,2014,Summer,August
2014-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2014,Summer,August
2014-08-06,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2014,Summer,August
2014-08-08,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2,5,2014,Summer,August
2014-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,3,2014,Summer,August
2014-08-13,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,6,2014,Summer,August
2014-08-15,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,3,2014,Summer,August
2014-08-18,NA,NA,NA,NA,2,4,NA,NA,1,3,NA,NA,NA,5,15,2014,Summer,August
2014-08-20,NA,NA,NA,NA,1,1,NA,NA,2,5,NA,NA,NA,2,11,2014,Summer,August
2014-08-22,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,7,2014,Summer,August
2014-08-25,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,2014,Summer,August
2014-08-27,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2014,Summer,August
2014-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2014,Summer,August
2014-09-02,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2014,Summer,September
2014-09-03,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,Summer,September
2014-09-05,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2014,Summer,September
2014-09-08,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2014,Summer,September
2014-09-12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2014,Summer,September
2014-09-15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2014,Summer,September
2014-09-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2014,Summer,September
2014-09-22,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,2014,Fall,September
2014-09-24,6,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,11,2014,Fall,September
2014-09-26,12,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,16,2014,Fall,September
2014-09-29,19,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2014,Fall,September
2014-10-01,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8,24,2014,Fall,October
2014-10-03,17,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,27,2014,Fall,October
2014-10-06,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,20,2014,Fall,October
2014-10-08,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,29,2014,Fall,October
2014-10-10,24,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,33,2014,Fall,October
2014-10-13,34,1,1,1,NA,NA,NA,NA,NA,NA,NA,29,NA,10,76,2014,Fall,October
2014-10-15,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,28,2014,Fall,October
2014-10-17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,5,40,2014,Fall,October
2014-10-20,29,2,2,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,6,82,2014,Fall,October
2014-10-22,45,4,3,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,10,94,2014,Fall,October
2014-10-24,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,62,2014,Fall,October
2014-10-27,58,4,1,NA,NA,NA,NA,NA,NA,NA,NA,70,1,9,143,2014,Fall,October
2014-10-29,87,2,2,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,9,131,2014,Fall,October
2014-10-31,39,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,41,1,6,88,2014,Fall,October
2014-11-03,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1,6,96,2014,Fall,November
2014-11-05,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,5,57,2014,Fall,November
2014-11-07,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,7,73,2014,Fall,November
2014-11-10,38,2,3,NA,NA,NA,NA,NA,NA,NA,NA,107,1,11,162,2014,Fall,November
2014-11-11,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,59,2014,Fall,November
2014-11-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,69,2014,Fall,November
2014-11-17,39,3,1,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,5,228,2014,Fall,November
2014-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,17,2014,Fall,November
2014-11-19,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,42,2014,Fall,November
2014-11-21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,53,2014,Fall,November
2014-11-24,34,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,107,NA,1,143,2014,Fall,November
2014-11-26,79,1,6,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,6,156,2014,Fall,November
2014-11-28,47,1,1,1,NA,NA,NA,NA,NA,NA,NA,53,NA,8,111,2014,Fall,November
2014-12-01,69,1,NA,1,NA,NA,NA,NA,NA,NA,NA,69,1,8,149,2014,Fall,December
2014-12-03,76,1,NA,1,NA,NA,NA,NA,NA,NA,NA,21,NA,4,103,2014,Fall,December
2014-12-05,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,3,73,2014,Fall,December
2014-12-08,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,4,53,2014,Fall,December
2014-12-10,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,9,51,2014,Fall,December
2014-12-12,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,13,84,2014,Fall,December
2014-12-15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,13,2014,Fall,December
2014-12-17,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,14,2014,Fall,December
2014-12-19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,2014,Fall,December
2014-12-22,70,NA,4,1,NA,NA,NA,NA,NA,NA,NA,19,NA,22,116,2014,Winter,December
2014-12-24,119,5,2,2,NA,NA,NA,NA,NA,NA,NA,10,NA,22,160,2014,Winter,December
2014-12-26,60,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,76,2014,Winter,December
2014-12-29,67,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,16,95,2014,Winter,December
2014-12-31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4,31,2014,Winter,December
2015-01-02,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,5,24,2015,Winter,January
2015-01-05,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,51,2015,Winter,January
2015-01-07,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12,90,2015,Winter,January
2015-01-09,49,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,60,2015,Winter,January
2015-01-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,10,59,2015,Winter,January
2015-01-14,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,9,42,2015,Winter,January
2015-01-16,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,55,2015,Winter,January
2015-01-19,84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,93,2015,Winter,January
2015-01-22,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,30,124,2015,Winter,January
2015-01-23,19,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,26,2015,Winter,January
2015-01-26,36,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,13,55,2015,Winter,January
2015-01-28,41,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10,54,2015,Winter,January
2015-01-30,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,50,2015,Winter,January
2015-02-02,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,51,2015,Winter,February
2015-02-04,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,55,2015,Winter,February
2015-02-06,54,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,72,2015,Winter,February
2015-02-09,70,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,105,2015,Winter,February
2015-02-11,84,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,100,2015,Winter,February
2015-02-13,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,33,2015,Winter,February
2015-02-16,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,9,48,2015,Winter,February
2015-02-18,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,30,2015,Winter,February
2015-02-20,22,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,32,2015,Winter,February
2015-02-23,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,48,2015,Winter,February
2015-02-25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,33,2015,Winter,February
2015-02-27,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,22,2015,Winter,February
2015-03-02,32,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,40,2015,Winter,March
2015-03-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,17,2015,Winter,March
2015-03-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,2015,Winter,March
2015-03-09,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,2015,Winter,March
2015-03-11,40,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,2015,Winter,March
2015-03-13,20,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,38,2015,Winter,March
2015-03-16,30,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,68,2015,Winter,March
2015-03-18,18,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,49,2015,Winter,March
2015-03-20,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,2015,Spring,March
2015-03-23,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,48,2015,Spring,March
2015-03-25,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,33,2015,Spring,March
