Year,June,July,August,September,October,Total,,,,,,,,,
1977,4,155,187,229,98,673,,,,,,,,,
1978,12,106,91,118,110,437,,,,,,,,,
1979,14,42,48,178,104,386,,,,,,,,,
1980,0,45,37,212,167,461,,,,,,,,,
1981,0,51,96,326,213,686,,,,,,,,,
1982,1,10,39,115,87,362,,,,,,,,,
1983,-,0,39,181,197,417,,,,,,,,,
1984,-,1,43,123,41,238,,,,,,,,,
1985,-,10,38,170,146,364,,,,,,,,,
1986,-,16,26,172,198,412,,,,,,,,,
1987,-,0,52,134,186,372,,,,,,,,,
1988,1,12,32,219,110,374,,,,,,,,,
1989,0,14,18,127,296,455,,,,,,,,,
1990,1,14,18,96,165,294,,,,,,,,,
1991,2,13,34,162,82,293,,,,,,,,,
1992,3,11,21,94,67,196,,,,,,,,,
1993,1,4,10,91,84,190,,,,,,,,,
1994,-,3,10,18,24,55,,,,,,,,,
1995,0,6,17,49,112,184,,,,,,,,,
1996,-,5,18,124,152,299,,,,,,,,,
1997,-,9,9,115,33,166,,,,,,,,,
1998,0,6,11,284,90,391,,,,,,,,,
1999,-,0,46,380,269,695,,,,,,,,,
2000,1,21,62,469,378,931,,,,,,,,,
2001,1,22,62,477,395,957,,,,,,,,,
2002,0,29,47,367,424,867,,,,,,,,,
2003,1,9,22,216,316,590,,,,,,,,,
2004,0,6,8,160,119,293,,,,,,,,,
2005,1,9,28,157,177,372,,,,,,,,,
2006,-,11,26,311,222,578,,,,,,,,,
2007,0,10,12,209,255,486,,,,,,,,,
2008,-,7,31,240,226,504,,,,,,,,,
2009,-,4,75,514,371,964,,,,,,,,,
2010,-,22,59,435,297,813,,,,,,,,,
2011,-,11,26,222,241,500,,,,,,,,,
2012,,6,18,158,113,295,,,,,,,,,
2013,-,8,22,183,130,343,,,,,,,,,
2014,-,9,26,190,305,529,,,,,,,,,
2015,1,12,41,170,152,376,,,,,,,,,
2016,0,1,6,59,39,105,,,,,,,,,
2017,-,0,0,0,0,63,,,,,,,,,
2018,-,3,6,39,76,124,,,,,,,,,
2019,-,3,8,53,112,176,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,