Location,Date_time,Conductivity in Î¼S/cm,Dissolved Oxygen in %,Dissolved Oxygen in mg/L,pH in NA,Temperature
Kloan Rapids,2016-02-25T00:00:00Z,108.1,116.9,12.98,7.98,7.85
Kloan Rapids,2016-04-19T00:00:00Z,120.3,124.5,12.07,8.59,15.81
Kloan Rapids,2016-05-03T00:00:00Z,124.2,125.2,11.24,8.6,16.99
Kloan Rapids,2016-05-17T00:00:00Z,116.5,118.3,11.19,8.48,17.24
Kloan Rapids,2016-06-07T00:00:00Z,120.1,129.5,10.99,8.51,20.43
Kloan Rapids,2016-06-21T00:00:00Z,116.5,134.8,11.79,8.67,18.68
Kloan Rapids,2016-07-05T00:00:00Z,123,114.1,10.52,9.27,19.29
Kloan Rapids,2016-07-19T00:00:00Z,114.4,131.5,12.4,9,18.18
Kloan Rapids,2016-08-02T00:00:00Z,119.7,123.1,11.46,8.99,18.79
Kloan Rapids,2016-08-16T00:00:00Z,116.7,126.6,11.54,8.96,19.85
Kloan Rapids,2016-09-06T00:00:00Z,110.4,118.1,11.46,8.9,16.77
Kloan Rapids,2016-09-20T00:00:00Z,111.8,120,11.84,8.79,16.02
Kloan Rapids,2016-10-18T00:00:00Z,112.2,105,11.17,8.35,12.58
River Mouth,2015-05-06T00:00:00Z,NA,100.3,10.45,8.49,13.5
River Mouth,2015-05-21T00:00:00Z,NA,101.2,10.34,8.14,14.4
River Mouth,2015-06-04T00:00:00Z,NA,112.8,10.68,8.84,17.6
River Mouth,2015-06-17T00:00:00Z,NA,108.1,10.13,7.26,18.14
River Mouth,2015-07-09T00:00:00Z,79.2,119.5,10.21,9.05,23.3
River Mouth,2015-07-22T00:00:00Z,81.1,115.6,10.49,8.69,20.2
River Mouth,2015-08-05T00:00:00Z,NA,112.6,10.66,9.29,18
River Mouth,2015-08-19T00:00:00Z,NA,120.8,10.99,9.14,19.11
River Mouth,2015-09-03T00:00:00Z,118,115,11.28,8.39,16.31
River Mouth,2015-09-16T00:00:00Z,123,116.9,11.72,8.35,15.28
River Mouth,2015-10-21T00:00:00Z,118.9,112.3,11.32,8.93,13.84
River Mouth,2015-12-16T00:00:00Z,118.8,118.3,13.32,8.07,6.93
River Mouth,2016-02-25T00:00:00Z,108.3,118.8,13.04,8.25,8.33
River Mouth,2016-04-19T00:00:00Z,119.4,113.2,11.42,8.25,14.15
River Mouth,2016-05-03T00:00:00Z,125,120.3,10.77,8.6,17.18
River Mouth,2016-05-17T00:00:00Z,116.6,115.9,10.85,8.54,17.8
River Mouth,2016-06-07T00:00:00Z,120.5,123.7,10.7,8.45,20.91
River Mouth,2016-06-21T00:00:00Z,115.1,122.1,11.15,8.57,16.57
River Mouth,2016-07-05T00:00:00Z,123.1,107.3,10.16,8.9,17.98
River Mouth,2016-07-19T00:00:00Z,114.7,125.2,11.68,9.01,18.66
River Mouth,2016-08-02T00:00:00Z,119.9,119.9,11.07,9.02,19.24
River Mouth,2016-08-16T00:00:00Z,117,120.2,10.84,8.93,20.4
River Mouth,2016-09-06T00:00:00Z,110.5,106.4,10.64,8.3,15.37
River Mouth,2016-09-20T00:00:00Z,112.1,110.49,11.3,8.47,14.99
River Mouth,2016-10-18T00:00:00Z,112.2,103.1,11.04,8.22,12.23
River Mouth,2017-06-14T00:00:00Z,62,107.9,10.78,8.39,15.36
River Mouth,2017-07-14T00:00:00Z,115.3,111.5,10.22,8.7,19.55
River Mouth,2017-08-14T00:00:00Z,113.4,116.6,10.89,8.62,18.65
River Mouth,2017-09-14T00:00:00Z,107.6,108.4,10.8,8.41,15.53
Dry Creek Tributary,2015-02-23T00:00:00Z,NA,NA,13.39,8.34,7.53
Dry Creek Tributary,2015-04-20T00:00:00Z,NA,NA,12.44,8.26,16.77
Dry Creek Tributary,2015-05-04T00:00:00Z,NA,NA,14.25,8.4,18.79
Dry Creek Tributary,2015-05-18T00:00:00Z,NA,135.4,12.76,8.36,18.2
Dry Creek Tributary,2015-06-01T00:00:00Z,NA,113.9,10.63,8.09,18.7
Dry Creek Tributary,2015-06-15T00:00:00Z,NA,157.3,13.64,8.1,22.07
Dry Creek Tributary,2015-07-06T00:00:00Z,NA,112.7,9.03,7.06,21.79
Dry Creek Tributary,2015-07-20T00:00:00Z,120.4,154,13.06,8.66,23.6
Dry Creek Tributary,2015-08-03T00:00:00Z,NA,92.6,8.95,8.18,17.1
Dry Creek Tributary,2015-08-18T00:00:00Z,NA,181.9,15.29,8.97,23.7
Dry Creek Tributary,2015-08-31T00:00:00Z,202,144.9,13.44,8.53,18.4
Dry Creek Tributary,2015-09-14T00:00:00Z,289,153.2,14.87,8.52,16.67
Dry Creek Tributary,2015-10-19T00:00:00Z,365,111.3,10.38,7.82,14.77
Dry Creek Tributary,2015-12-10T00:00:00Z,428,111.6,11.77,7.47,8.58
Oak Springs,2015-02-25T00:00:00Z,NA,NA,13.19,8.22,11.44
Oak Springs,2015-02-26T00:00:00Z,NA,NA,13.54,8.08,10.23
Oak Springs,2015-04-22T00:00:00Z,NA,NA,13.9,8.2,12.78
Oak Springs,2015-05-19T00:00:00Z,NA,96.8,10.12,7.46,13.4
Oak Springs,2015-06-02T00:00:00Z,NA,98,10.3,7.79,12.7
Oak Springs,2015-06-16T00:00:00Z,NA,96.9,10.03,6.44,13.07
Oak Springs,2015-07-23T00:00:00Z,71.8,98,9.8,8.52,15.5
Oak Springs,2015-08-04T00:00:00Z,NA,84.7,8.46,7.77,15.5
Oak Springs,2015-08-17T00:00:00Z,NA,99.1,10.39,8.2,13.2
Oak Springs,2015-09-01T00:00:00Z,NA,95.7,10.04,7.89,13.2
Oak Springs,2015-09-15T00:00:00Z,118,94,10.1,7.4,12.11
Oak Springs,2015-10-20T00:00:00Z,110.6,105.5,10.54,7.94,12.28
Oak Springs,2015-12-21T00:00:00Z,111.1,107.7,10.75,8.15,11.1
Oak Springs,2016-02-29T00:00:00Z,111.5,108.6,11.07,7.75,11.56
Oak Springs,2016-04-20T00:00:00Z,114.9,98.2,10.39,7.63,11.51
Oak Springs,2016-05-05T00:00:00Z,116,109.9,10.76,7.68,12.73
Oak Springs,2016-05-19T00:00:00Z,115.9,111.1,10.93,8,12.67
Oak Springs,2016-06-09T00:00:00Z,117.5,106.1,10.37,7.77,12.93
Oak Springs,2016-06-23T00:00:00Z,115.2,111.2,10.84,8.29,13.03
Oak Springs,2016-07-08T00:00:00Z,118.7,98,10.09,8.02,14.06
Oak Springs,2016-07-21T00:00:00Z,114.2,97.6,10.1,7.9,13.8
Oak Springs,2016-08-04T00:00:00Z,117.6,96.4,10.1,7.87,13.26
Oak Springs,2016-08-18T00:00:00Z,115.5,98.4,10.29,7.94,13.32
Oak Springs,2016-09-08T00:00:00Z,115.5,97.5,10.25,7.72,13.09
Oak Springs,2016-09-19T00:00:00Z,113.7,98,10.49,7.66,12.28
Oak Springs,2016-10-20T00:00:00Z,111.8,91.1,9.9,7.59,12.02
Shitike Creek,2015-02-23T00:00:00Z,NA,NA,13.54,7.53,3.4
Shitike Creek,2015-04-20T00:00:00Z,NA,NA,13.37,8.49,10.7
Shitike Creek,2015-05-04T00:00:00Z,NA,NA,13.43,8.21,12.45
Shitike Creek,2015-05-18T00:00:00Z,NA,109.5,11.2,8.47,14.4
Shitike Creek,2015-06-01T00:00:00Z,NA,95.53,9.53,7.66,15.4
Shitike Creek,2015-06-15T00:00:00Z,NA,102.2,9.72,8.61,17.4
Shitike Creek,2015-07-06T00:00:00Z,NA,106.4,9.17,7.4,22.31
Shitike Creek,2015-07-20T00:00:00Z,42.7,114.7,10.45,8.97,19.9
Shitike Creek,2015-08-03T00:00:00Z,NA,102.9,9.68,8.61,18.3
Shitike Creek,2015-08-17T00:00:00Z,NA,115,10.4,9.21,20.3
Shitike Creek,2015-08-31T00:00:00Z,64,106.6,10.59,7.9,15.7
Shitike Creek,2015-09-14T00:00:00Z,67,108.4,11.03,8.96,14.7
Shitike Creek,2015-10-19T00:00:00Z,61.5,111.8,11.52,8.11,10.74
Shitike Creek,2015-12-18T00:00:00Z,34.5,108.8,13.45,7.69,3.46
Shitike Creek,2016-02-23T00:00:00Z,49.7,93.2,11.98,7.28,4.41
Shitike Creek,2016-04-18T00:00:00Z,46.2,109.3,11.28,7.64,11.07
Shitike Creek,2016-05-02T00:00:00Z,46.9,111.9,11.27,7.26,11.83
Shitike Creek,2016-05-16T00:00:00Z,41.4,112.4,11.06,7.92,12.83
Shitike Creek,2016-06-06T00:00:00Z,42.5,112,9.54,7.68,19.09
Shitike Creek,2016-06-23T00:00:00Z,45.9,109.1,10.49,7.86,13.95
Shitike Creek,2016-07-07T00:00:00Z,49.6,98.9,9.88,8.14,15.4
Shitike Creek,2016-07-18T00:00:00Z,49.8,103,9.41,8.23,19.73
Shitike Creek,2016-08-01T00:00:00Z,53.7,103.1,10.14,8.19,16.1
Shitike Creek,2016-08-15T00:00:00Z,53.6,108.4,9.89,8.63,19.81
Shitike Creek,2016-09-09T00:00:00Z,55.1,103.6,11.06,8.25,12.38
Shitike Creek,2016-09-22T00:00:00Z,55.5,99.7,11.31,8.02,9.75
Shitike Creek,2016-10-17T00:00:00Z,35.5,93.9,11.04,7.33,8.29
Trout Creek,2015-02-23T00:00:00Z,NA,NA,14.28,8.68,5.48
Trout Creek,2015-04-20T00:00:00Z,NA,NA,13.88,8.14,11.58
Trout Creek,2015-05-04T00:00:00Z,NA,NA,12.92,7.94,11.41
Trout Creek,2015-05-18T00:00:00Z,NA,85.3,8.77,8.14,14.3
Trout Creek,2015-06-01T00:00:00Z,NA,101.4,9.74,8.23,17.3
Trout Creek,2015-06-15T00:00:00Z,NA,111.8,11.31,7.13,14.49
Trout Creek,2015-07-06T00:00:00Z,NA,86.6,7.54,7.24,21.84
Trout Creek,2015-07-20T00:00:00Z,NA,102.8,9.94,8.44,17
Trout Creek,2015-08-03T00:00:00Z,NA,91.7,8.65,8.23,18.2
Trout Creek,2015-08-17T00:00:00Z,NA,98.8,9.92,8.34,15.2
Trout Creek,2015-08-31T00:00:00Z,383,101.2,10.32,8.11,14.5
Trout Creek,2015-09-14T00:00:00Z,483,97.1,10.07,8.42,13.7
Trout Creek,2015-10-19T00:00:00Z,552.5,90.8,8.98,8.22,12.45
Trout Creek,2015-12-18T00:00:00Z,371.4,104.3,12.32,8.42,5.08
Trout Creek,2016-02-23T00:00:00Z,205.5,97.8,11.84,8.55,6.63
Trout Creek,2016-04-18T00:00:00Z,219.8,105,10.53,7.96,12.33
Trout Creek,2016-05-02T00:00:00Z,265.4,108.6,10.62,7.78,13.06
Trout Creek,2016-05-16T00:00:00Z,375.9,106.5,10.12,8.17,14.4
Trout Creek,2016-06-06T00:00:00Z,430.4,109.7,9.53,8.28,18.04
Trout Creek,2016-06-20T00:00:00Z,295.3,109.3,10.38,7.92,14.49
Trout Creek,2016-07-07T00:00:00Z,414,95.2,9.45,8.49,15.71
Trout Creek,2016-07-18T00:00:00Z,354,100.6,9.17,8.38,19.81
Trout Creek,2016-08-01T00:00:00Z,492.7,98.7,10.11,8.35,14.15
Trout Creek,2016-08-15T00:00:00Z,386,103.5,9.96,8.39,17.12
Trout Creek,2016-09-09T00:00:00Z,380.8,94.1,10.05,8.2,12.37
Trout Creek,2016-09-22T00:00:00Z,392.5,98.6,10.18,8.42,13.88
Trout Creek,2016-10-17T00:00:00Z,530,88.3,9.69,8.23,11.14
Trout Creek,2017-06-16T00:00:00Z,189.2,93.5,9.41,8.08,15.07
Trout Creek,2017-07-11T00:00:00Z,368.6,96.5,9.55,7.93,15.84
Trout Creek,2017-08-16T00:00:00Z,386.4,104.7,9.87,8.12,17.75
Trout Creek,2017-09-13T00:00:00Z,283.2,90.3,8.87,7.68,16.13
White River,2015-02-26T00:00:00Z,NA,NA,13.07,8.71,5.56
White River,2015-04-22T00:00:00Z,NA,NA,12.87,8.02,13.99
White River,2015-05-19T00:00:00Z,NA,99.3,9.81,7.7,16
White River,2015-06-02T00:00:00Z,NA,102.6,10.09,8.27,16.01
White River,2015-06-16T00:00:00Z,NA,101.1,9.01,7.54,20.77
White River,2016-02-25T00:00:00Z,51.8,119.7,13.91,7.25,6.08
White River,2016-04-21T00:00:00Z,47.5,107.5,10.77,7.01,11.64
White River,2016-05-05T00:00:00Z,55.8,113.4,11.02,7.54,13.13
White River,2016-05-19T00:00:00Z,68.5,114.4,10.53,7.92,15.68
White River,2016-06-09T00:00:00Z,83.3,106.9,9.5,7.75,17.18
White River,2016-06-23T00:00:00Z,86.6,112.3,9.75,8.19,18.56
White River,2016-07-08T00:00:00Z,91.1,100,9.41,8.1,18.3
White River,2016-07-21T00:00:00Z,92.3,92.3,8.56,8.06,22.69
White River,2016-08-04T00:00:00Z,94.5,99.1,8.85,8.06,20.9
White River,2016-08-18T00:00:00Z,96,99.5,8.56,8.18,22.81
White River,2016-09-08T00:00:00Z,95.9,99.7,9.39,8.03,18.26
White River,2016-09-20T00:00:00Z,92,99,10.66,7.93,12.05
White River,2016-10-20T00:00:00Z,76.6,100.7,11.2,7.68,10.65
White River WRFSP,2015-08-04T00:00:00Z,NA,99.4,8.94,8.23,20.6
White River WRFSP,2015-08-17T00:00:00Z,NA,99.8,9.55,8.21,17.5
White River WRFSP,2015-09-01T00:00:00Z,NA,99.1,9.26,8.03,18.6
White River WRFSP,2015-09-15T00:00:00Z,104,98.4,10.37,7.28,13.01
White River WRFSP,2015-10-20T00:00:00Z,95.8,113.9,11.34,7.96,12.46
Warm Springs,2015-02-24T00:00:00Z,NA,NA,14.29,8.29,4.58
Warm Springs,2015-04-20T00:00:00Z,NA,NA,11.77,8.65,14.59
Warm Springs,2015-05-05T00:00:00Z,NA,NA,13.18,7.96,13.22
Warm Springs,2015-05-18T00:00:00Z,NA,102,9.79,8.46,17.3
Warm Springs,2015-06-01T00:00:00Z,NA,101.9,9.53,8.5,18.6
Warm Springs,2015-06-15T00:00:00Z,NA,103.8,9.35,8.1,20.1
Warm Springs,2015-07-06T00:00:00Z,NA,101.7,8.88,7.25,21.79
Warm Springs,2015-07-20T00:00:00Z,74.3,106.9,9.14,8.88,23.3
Warm Springs,2015-08-03T00:00:00Z,NA,100.2,9.25,8.36,19.3
Warm Springs,2015-08-18T00:00:00Z,NA,104.5,9.69,8.78,19
Warm Springs,2015-08-31T00:00:00Z,96,104,10.09,8.12,17
Warm Springs,2015-09-14T00:00:00Z,99,101.8,10.11,8.01,15.75
Warm Springs,2015-10-19T00:00:00Z,92.1,112.8,11.03,8.32,12.89
Warm Springs,2015-12-10T00:00:00Z,52.7,107.3,12.1,7.91,6.13
Warm Springs,2016-02-23T00:00:00Z,57.6,93,12.13,7.11,4.09
Warm Springs,2016-04-18T00:00:00Z,63.9,107.9,10.43,8.13,13.94
Warm Springs,2016-05-02T00:00:00Z,72.6,109.7,10.23,8,15.31
Warm Springs,2016-05-16T00:00:00Z,78.7,109.4,10.31,8.22,14.89
Warm Springs,2016-06-09T00:00:00Z,88.5,104.6,9.29,7.78,17.22
Warm Springs,2016-06-20T00:00:00Z,87.3,114.8,10.49,8.21,16.35
Warm Springs,2016-07-07T00:00:00Z,92.1,100.5,9.35,8.72,18.84
Warm Springs,2016-07-18T00:00:00Z,88.7,102.4,9.5,8.35,18.97
Warm Springs,2016-08-01T00:00:00Z,92.8,103,9.43,8.59,19.69
Warm Springs,2016-08-15T00:00:00Z,92.6,102.1,8.94,8.72,21.9
Warm Springs,2016-09-09T00:00:00Z,90.9,102.8,10.25,8.46,15.47
Warm Springs,2016-09-22T00:00:00Z,40.9,99.2,10.7,8.24,11.95
Warm Springs,2016-10-17T00:00:00Z,81.8,97.2,11.01,8.05,9.84
Warm Springs,2017-06-15T00:00:00Z,41.4,97.5,10.02,8.16,14.13
Warm Springs,2017-07-11T00:00:00Z,90.3,99.2,9.1,8.32,19.56
Warm Springs,2017-08-16T00:00:00Z,87.1,98.2,9.6,8.15,16.4
Warm Springs,2017-09-13T00:00:00Z,86.1,101,9.74,8.3,17.12
Willow Creek,2015-05-11T00:00:00Z,NA,97.9,9.42,8.59,17.2
Willow Creek,2015-05-27T00:00:00Z,NA,102.7,9.23,8.72,20.58
Willow Creek,2015-06-11T00:00:00Z,NA,99.5,9.54,7.75,17.24
Willow Creek,2015-06-22T00:00:00Z,NA,96.6,8.27,8.15,23
Willow Creek,2015-07-16T00:00:00Z,NA,100.8,8.97,6.62,21.1
Willow Creek,2015-07-27T00:00:00Z,232,105.9,9.29,8.93,21.4
Willow Creek,2015-08-10T00:00:00Z,NA,105.9,9.28,8.72,21.9
Willow Creek,2015-08-25T00:00:00Z,NA,99,8.65,8.75,22
Willow Creek,2015-09-10T00:00:00Z,352.8,113.1,9.67,9.7,20.69
Willow Creek,2015-09-28T00:00:00Z,360.2,103.4,9.16,8.57,18.59
Willow Creek,2015-10-29T00:00:00Z,399.6,104.6,9.55,8.5,16.16
Willow Creek,2015-12-18T00:00:00Z,398.3,108.4,10.16,8.57,14.9
Willow Creek,2016-05-10T00:00:00Z,390.1,109,9.1,8.9,20.87
Willow Creek,2016-05-23T00:00:00Z,349.2,114.6,9.85,8.73,18.86
Willow Creek,2016-06-14T00:00:00Z,385.4,112.1,9.33,8.82,20.47
Willow Creek,2016-06-30T00:00:00Z,400.1,95.9,9.14,8.51,17.61
Willow Creek,2016-07-12T00:00:00Z,404,97.4,8.75,8.85,20.52
Willow Creek,2016-07-25T00:00:00Z,389.1,98,8.3,8.7,23.6
Willow Creek,2016-08-10T00:00:00Z,394.2,97.4,8.47,8.84,22.22
Willow Creek,2016-08-24T00:00:00Z,391.5,99.6,8.75,8.92,21.7
Willow Creek,2016-09-12T00:00:00Z,387.7,100.5,9.27,8.72,19.22
Willow Creek,2016-09-27T00:00:00Z,372.8,99.5,9.42,8.55,17.96
Crooked Inflow,2015-04-29T00:00:00Z,NA,NA,13.21,8.45,12.93
Crooked Inflow,2015-05-13T00:00:00Z,NA,95.4,10.02,8.09,13.2
Crooked Inflow,2015-05-25T00:00:00Z,NA,94.7,9.54,8.34,14.45
Crooked Inflow,2015-06-10T00:00:00Z,NA,98.3,10.06,7.3,13.95
Crooked Inflow,2015-06-23T00:00:00Z,NA,100.3,10.33,7.07,13.66
Crooked Inflow,2015-06-29T00:00:00Z,NA,97,9.95,6.28,13.79
Crooked Inflow,2015-07-27T00:00:00Z,106,94,9.79,8.5,13.6
Crooked Inflow,2015-08-10T00:00:00Z,NA,96.6,10.06,8.27,13.5
Crooked Inflow,2015-08-24T00:00:00Z,NA,97.2,10.13,8.43,13.5
Crooked Inflow,2015-09-09T00:00:00Z,147.2,103.6,10.44,8.78,12.9
Crooked Inflow,2015-09-28T00:00:00Z,147.7,103.4,10.38,8.26,13.06
Crooked Inflow,2015-10-26T00:00:00Z,167.8,105.9,10.48,7.65,12.64
Crooked Inflow,2016-02-17T00:00:00Z,172.7,105,10.45,8.22,11.85
Crooked Inflow,2016-04-27T00:00:00Z,172.3,110.9,10.82,8.39,12.96
Crooked Inflow,2016-05-10T00:00:00Z,161.6,101.9,10.09,8.4,12.78
Crooked Inflow,2016-05-24T00:00:00Z,169.8,105.6,10.16,8.25,13.55
Crooked Inflow,2016-06-13T00:00:00Z,179.8,108.3,10.38,7.99,13.92
Crooked Inflow,2016-06-27T00:00:00Z,172.6,100.9,10.22,8.56,14.769
Crooked Inflow,2016-07-12T00:00:00Z,167.7,92.1,9.56,8.37,13.51
Crooked Inflow,2016-07-26T00:00:00Z,163.4,99.6,10.16,8.41,14.41
Crooked Inflow,2016-08-08T00:00:00Z,165.5,98.1,10.16,8.47,13.73
Crooked Inflow,2016-08-25T00:00:00Z,151.7,91.7,9.68,8.34,12.89
Crooked Inflow,2016-09-12T00:00:00Z,154.4,94.4,9.93,8.42,13.08
Crooked Inflow,2016-09-28T00:00:00Z,178.7,94.5,9.84,8.29,13.51
Crooked Inflow,2016-10-25T00:00:00Z,178.6,95.1,10.09,8.44,12.67
Deschutes Inflow,2015-04-01T00:00:00Z,NA,NA,12.39,7.94,8.66
Deschutes Inflow,2015-04-29T00:00:00Z,115,105.9,10.97,8.64,11.54
Deschutes Inflow,2015-05-13T00:00:00Z,NA,98.2,10.66,8.41,11.7
Deschutes Inflow,2015-05-25T00:00:00Z,NA,95.8,9.75,8.22,14.01
Deschutes Inflow,2015-06-10T00:00:00Z,NA,95.7,9.78,7.04,14.07
Deschutes Inflow,2015-06-23T00:00:00Z,NA,97.4,10.16,6.89,13.26
Deschutes Inflow,2015-07-14T00:00:00Z,87.1,95.9,9.87,8.84,14.1
Deschutes Inflow,2015-07-28T00:00:00Z,85,98.3,10.36,7.83,13
Deschutes Inflow,2015-08-12T00:00:00Z,NA,102.2,9.98,8.75,16.5
Deschutes Inflow,2015-08-25T00:00:00Z,NA,95.1,9.95,7.99,13.3
Deschutes Inflow,2015-09-09T00:00:00Z,102.6,111.3,11.11,9.15,13.27
Deschutes Inflow,2015-09-30T00:00:00Z,105.4,100.9,10.4,7.71,10.91
Deschutes Inflow,2015-10-27T00:00:00Z,99.3,109.5,11.74,8.01,9.09
Deschutes Inflow,2015-12-11T00:00:00Z,79.8,107.5,12.11,7.36,6.07
Deschutes Inflow,2016-02-17T00:00:00Z,92.8,106.4,11.29,8.31,8.73
Deschutes Inflow,2016-04-27T00:00:00Z,112.1,115,11.41,8.33,12.07
Deschutes Inflow,2016-05-09T00:00:00Z,88.7,107.2,10.76,7.96,11.88
Deschutes Inflow,2016-05-24T00:00:00Z,110.6,110.5,10.97,8.38,12.23
Deschutes Inflow,2016-06-15T00:00:00Z,108,106.6,10.76,7.95,11.51
Deschutes Inflow,2016-06-27T00:00:00Z,109.9,99.6,9.85,8.53,15.88
Deschutes Inflow,2016-07-11T00:00:00Z,108.9,97.9,10.04,8.63,14.24
Deschutes Inflow,2016-07-26T00:00:00Z,111.4,100.2,10.1,8.32,15.05
Deschutes Inflow,2016-08-08T00:00:00Z,115.9,97,10.07,8.31,13.61
Deschutes Inflow,2016-08-24T00:00:00Z,114.8,97.4,10.19,8.41,13.31
Deschutes Inflow,2016-09-14T00:00:00Z,112.5,96.9,10.41,8.3,12.11
Deschutes Inflow,2016-09-28T00:00:00Z,117.1,97.9,10.38,8.33,12.68
Deschutes Inflow,2016-10-25T00:00:00Z,86.6,95.6,11.01,8.07,9.15
Metolius Inflow,2015-04-01T00:00:00Z,NA,NA,13.03,7.9,6.06
Metolius Inflow,2015-04-30T00:00:00Z,68,NA,15.66,7.95,6.22
Metolius Inflow,2015-05-25T00:00:00Z,NA,93.5,11.05,7.77,7.49
Metolius Inflow,2015-06-10T00:00:00Z,NA,94.7,10.57,6.45,10.03
Metolius Inflow,2015-06-23T00:00:00Z,NA,97.3,11.08,6.35,9.28
Metolius Inflow,2015-07-14T00:00:00Z,50.7,95.7,10.88,9.48,9.7
Metolius Inflow,2015-07-28T00:00:00Z,72.4,97.8,11.41,8.04,8.6
Metolius Inflow,2015-08-10T00:00:00Z,NA,98.4,11.46,8.36,8.7
Metolius Inflow,2015-08-25T00:00:00Z,NA,94.9,11.02,8.08,8
Metolius Inflow,2015-09-10T00:00:00Z,64.7,107.1,12.29,8.89,7.38
Metolius Inflow,2015-10-01T00:00:00Z,65.8,100.7,11.62,7.6,6.86
Metolius Inflow,2015-10-27T00:00:00Z,71.7,107.4,12.56,7.5,5.58
Metolius Inflow,2015-12-09T00:00:00Z,54.3,102.2,11.55,7.46,6.67
Metolius Inflow,2016-02-16T00:00:00Z,61.5,103.4,11.73,7.71,6.76
Metolius Inflow,2016-04-28T00:00:00Z,66.1,108.2,12.27,NA,6.78
Metolius Inflow,2016-05-09T00:00:00Z,63.5,103.6,11.16,7.77,8.86
Metolius Inflow,2016-05-24T00:00:00Z,67.4,105.8,11.46,7.54,8.47
Metolius Inflow,2016-06-13T00:00:00Z,67.9,106.7,11.8,6.66,7.77
Metolius Inflow,2016-06-29T00:00:00Z,70.1,95.8,11.01,8.06,9.2
Metolius Inflow,2016-07-12T00:00:00Z,71.3,94.9,11.08,8.14,8.6
Metolius Inflow,2016-07-26T00:00:00Z,69,95.8,10.75,7.92,10.27
Metolius Inflow,2016-08-08T00:00:00Z,71.1,95,11.16,8.03,8.3
Metolius Inflow,2016-08-23T00:00:00Z,70.8,92.9,10.61,8.3,9.47
Metolius Inflow,2016-09-12T00:00:00Z,70.8,94.1,11.41,7.89,7.02
Metolius Inflow,2016-09-27T00:00:00Z,71.1,93.6,10.92,7.9,8.61
Metolius Inflow,2016-10-26T00:00:00Z,68.6,92.2,11.15,7.65,7.17
